"","id","conversation_id","created_at","date","time","timezone","user_id","username","name","place","tweet","mentions","urls","photos","replies_count","retweets_count","likes_count","hashtags","cashtags","link","retweet","quote_url","video","near","geo","source","user_rt_id","user_rt","retweet_id","reply_to","retweet_date","translate","trans_src","trans_dest"
"1",1244308337904287744,1244308337904287744,1585501200000,"2020-03-30","00:00:00","SE Asia Standard Time",377922480,"gcetrafik","PROLINTAS GCE","","Tahukah dengan melakukan transaksi secara tunai mendedahkan anda kepada bahaya penyebaran virus Covid-19? 

#PROLINTASPrihatin #StaySafe #KekalTenang #HapusCOVID19 #PerintahKawalanPergerakan #MovementControlOrder #StayatHome #KitaJagaKita
#AKLEH #GCE #LKSA #SILK #SUKE #DASH pic.twitter.com/se0xiYbLJm","[]","[]","['https://pbs.twimg.com/media/EUR9aVRU0AAKxHw.jpg']",0,0,0,"['#prolintasprihatin', '#staysafe', '#kekaltenang', '#hapuscovid19', '#perintahkawalanpergerakan', '#movementcontrolorder', '#stayathome', '#kitajagakita', '#akleh', '#gce', '#lksa', '#silk', '#suke', '#dash']","[]","https://twitter.com/GCEtrafik/status/1244308337904287744","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '377922480', 'username': 'GCEtrafik'}]",NA,NA,NA,NA
"2",1244308321751846912,1244308321751846912,1585501196000,"2020-03-29","23:59:56","SE Asia Standard Time",283317016,"zulzaim_hilmee","zulzaim hilmee abidin","","COVID-19: Angka kes yang positif semakin naik, Tawau sudah menjadi zon merah namun jangan pernah putus berdoa memohon perlindungan kepada Allah SWT. #StayAtHome","[]","[]","[]",1,0,1,"['#stayathome']","[]","https://twitter.com/zulzaim_hilmee/status/1244308321751846913","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '283317016', 'username': 'zulzaim_hilmee'}]",NA,NA,NA,NA
"3",1244308317133889536,1244289710752534528,1585501195000,"2020-03-29","23:59:55","SE Asia Standard Time",1131125720183320576,"ardiansyaa_hh","bukanpakboy","","Covid 19 + #Buzzerpolitik musuh Kita sekarang, gass terus bosss @tirta_hudhi . #cipengclan #Covid19Out #LawanVirusPolitikCorona #lawanbuzzerpolitik pic.twitter.com/rAyIw8OdTH","['tirta_hudhi']","[]","[]",1,6,16,"['#buzzerpolitik', '#cipengclan', '#covid19out', '#lawanviruspolitikcorona', '#lawanbuzzerpolitik']","[]","https://twitter.com/ardiansyaa_hh/status/1244308317133889536","False","",1,NA,NA,NA,NA,NA,NA,"[{'user_id': '1131125720183320577', 'username': 'ardiansyaa_hh'}, {'user_id': '116632682', 'username': 'tirta_hudhi'}]",NA,NA,NA,NA
"4",1244308306304237568,1242517565731008512,1585501193000,"2020-03-29","23:59:53","SE Asia Standard Time",79365059,"istapuspit","IPRS","","Ini pernyataan resmi WHO tanggal 28 maret 2020 ya. Covid-19 is NOT airborne! Masih sama penyebarannya melalui droplet atau percikan air liur!

Untuk cross check bisa buka instagram resmi WHO. 

Buat mbak seleb makanya iqro yang bener! Kalo nggak ngerti diartiin pake google! 😄  pic.twitter.com/VmqNTwu7pG","[]","[]","['https://pbs.twimg.com/media/EUSrzA8U8AA-AFF.jpg']",0,1,1,"[]","[]","https://twitter.com/istapuspit/status/1244308306304237568","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '79365059', 'username': 'istapuspit'}]",NA,NA,NA,NA
"5",1244308301770182656,1244308301770182656,1585501191000,"2020-03-29","23:59:51","SE Asia Standard Time",1244241498993917952,"ansorponcol","Ansor Poncol","","Giat PAM Pemulangan Santri Poncol Dalam mengantisipasi Maraknya wabah virus Covid 19.

#ansorlawancorona #ansorponcol #Covid_19 #banser pic.twitter.com/rA6usD1zwt","[]","[]","['https://pbs.twimg.com/media/EUSrxPvUUAAQg1k.jpg']",0,2,2,"['#ansorlawancorona', '#ansorponcol', '#covid_19', '#banser']","[]","https://twitter.com/Ansorponcol/status/1244308301770182656","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '1244241498993917952', 'username': 'Ansorponcol'}]",NA,NA,NA,NA
"6",1244308263824285696,1244269003138150400,1585501182000,"2020-03-29","23:59:42","SE Asia Standard Time",1097359793096773632,"rivaldiprayg","@rivaldiprayg","","Sejak musim covid-19, warga banyak yg mendadak jadi reporter lebay dengan tata bahasa dan tutur kata amburadul layaknya kang obat. Kebanyakan nonton berita tv merah 😂","['kyoshihunter', 'rizmawidiono', 'ccicpolri', 'aduankonten', 'divhumas_polri']","[]","[]",0,0,0,"[]","[]","https://twitter.com/rivaldiprayg/status/1244308263824285697","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '1097359793096773632', 'username': 'rivaldiprayg'}, {'user_id': '1236545331568898049', 'username': 'KyoshiHunter'}, {'user_id': '746241503714934784', 'username': 'RizmaWidiono'}, {'user_id': '735358344106549248', 'username': 'CCICPolri'}, {'user_id': '995850815184105472', 'username': 'aduankonten'}, {'user_id': '138290629', 'username': 'DivHumas_Polri'}]",NA,NA,NA,NA
"7",1244308213773692928,1244308213773692928,1585501170000,"2020-03-29","23:59:30","SE Asia Standard Time",1235925076798660608,"sulsellima","sulsellima.com","","Begini Inisiatif Ketua BPD Desa Tanah Harapan Yang Terjun Langsung Cegah Covid-19  https://www.sulsellima.com/2020/03/begini-inisiatif-ketua-bpd-desa-tanah.html …","[]","['https://www.sulsellima.com/2020/03/begini-inisiatif-ketua-bpd-desa-tanah.html']","[]",0,0,1,"[]","[]","https://twitter.com/sulsellima/status/1244308213773692928","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '1235925076798660609', 'username': 'sulsellima'}]",NA,NA,NA,NA
"8",1244308207889047552,1244308207889047552,1585501169000,"2020-03-29","23:59:29","SE Asia Standard Time",742244374986162176,"projustisianews","Pro Justisia News","","Waspada Tiga Sumber Penularan Covid-19 bagi Usia Lanjut  https://www.hmstimes.com/waspada-tiga-sumber-penularan-covid-19-bagi-usia-lanjut/ …","[]","['https://www.hmstimes.com/waspada-tiga-sumber-penularan-covid-19-bagi-usia-lanjut/']","[]",0,0,0,"[]","[]","https://twitter.com/ProJustisiaNews/status/1244308207889047553","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '742244374986162176', 'username': 'ProJustisiaNews'}]",NA,NA,NA,NA
"9",1244308185445355520,1244274440474521600,1585501164000,"2020-03-29","23:59:24","SE Asia Standard Time",1176163700484403200,"xoxolloxox_","PEN15_PUN41","","Tbh, covid-19 ni bukan nyer berpunca dr kerajaan malaysia. So x perlu nk layan permintaan “seniman2” ni. Boleh pegi jahanam. Hidup nk glamour mudah dan senang. Pui. What make u think u are so special then rakyat yg bkn penggiat seni?","['inialannn']","[]","[]",1,0,1,"[]","[]","https://twitter.com/XoXolloXoX_/status/1244308185445355526","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '1176163700484403200', 'username': 'XoXolloXoX_'}, {'user_id': '428228945', 'username': 'IniAlannn'}]",NA,NA,NA,NA
"10",1244308180684779520,1244300098609106944,1585501163000,"2020-03-29","23:59:23","SE Asia Standard Time",1209446034033659904,"gembus_1","Bang Gembus #PakaiMasker","","Mari bersama bahu membahu menghentikan penyebaran covid-19. usaha pemerintah akan sia2 kalo kita tidak patuh. 
#StayAtHomeAndStaySafe ya kang 🙏🙏","[]","[]","[]",1,0,0,"['#stayathomeandstaysafe']","[]","https://twitter.com/gembus_1/status/1244308180684779525","False","",0,NA,NA,NA,NA,NA,NA,"[{'user_id': '1209446034033659904', 'username': 'gembus_1'}]",NA,NA,NA,NA
